id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
72,2024-05-03,Cliente_006,Mouse,Periféricos,Nordeste,7.0,119.59
73,2024-06-05,Cliente_048,Smartphone,Celulares,Norte,7.0,2326.58
74,2024-05-18,Cliente_048,Tablet,Celulares,Norte,6.0,1909.54
75,2024-09-04,Cliente_007,Headset,Periféricos,Sul,3.0,317.61
76,2024-06-03,Cliente_036,Tablet,Celulares,Nordeste,,1724.88
77,2024-09-08,Cliente_022,Mouse,Periféricos,Sul,3.0,
78,2024-09-01,Cliente_044,Notebook,Computadores,Sudeste,5.0,3963.12
79,2024-06-04,Cliente_039,Smartphone,Celulares,Norte,3.0,2405.35
80,2024-08-14,Cliente_004,Smartphone,Celulares,Norte,9.0,2121.05
81,2024-04-16,Cliente_036,Mouse,Periféricos,Sudeste,2.0,136.11
82,2024-12-18,Cliente_045,Smartphone,Celulares,Centro-Oeste,1.0,2139.62
83,2024-11-16,Cliente_015,Notebook,Computadores,Sul,4.0,3945.11
84,2024-03-25,Cliente_029,Tablet,Celulares,Sudeste,3.0,1568.56
85,2024-05-19,Cliente_028,Monitor,Computadores,Nordeste,5.0,1271.9
86,2024-04-27,Cliente_049,Teclado,Periféricos,Nordeste,5.0,214.44
87,2024-03-30,Cliente_038,Teclado,Periféricos,Centro-Oeste,1.0,269.73
88,2024-08-28,Cliente_022,Mouse,Periféricos,Centro-Oeste,8.0,136.89
89,2024-07-24,Cliente_021,Mouse,Periféricos,Sudeste,8.0,112.38
90,2024-01-01,Cliente_024,Headset,Periféricos,Norte,7.0,388.32
91,2024-01-27,Cliente_045,Headset,Periféricos,Centro-Oeste,8.0,363.17
92,DATA INVÁLIDA,Cliente_027,Notebook,Computadores,Sudeste,1.0,3996.8
93,2024-03-01,Cliente_046,Smartphone,Celulares,Nordeste,2.0,2174.56
94,2024-05-04,Cliente_048,Monitor,Computadores,Sul,8.0,1372.89
95,DATA INVÁLIDA,Cliente_047,Headset,Periféricos,Nordeste,2.0,326.51
96,2024-12-03,Cliente_036,Headset,Periféricos,Norte,10.0,358.39
97,2024-04-06,Cliente_027,Monitor,Computadores,Sudeste,8.0,1355.83
98,2024-07-14,Cliente_032,Tablet,Celulares,Sudeste,8.0,1910.82
99,2024-06-18,Cliente_030,Smartphone,Celulares,Sudeste,9.0,2507.13
100,2024-12-01,Cliente_040,Mouse,Periféricos,Centro-Oeste,3.0,116.76
101,2024-12-11,Cliente_049,Mouse,Periféricos,Centro-Oeste,2.0,132.66
102,2024-02-05,Cliente_006,Headset,Periféricos,Centro-Oeste,9.0,301.27
103,2024-12-21,Cliente_023,Notebook,Computadores,Nordeste,2.0,
104,2024-07-29,Cliente_025,Monitor,Computadores,Norte,3.0,1107.91
105,2024-10-25,Cliente_001,Mouse,Periféricos,Centro-Oeste,4.0,119.92
106,2024-08-14,Cliente_045,Tablet,Celulares,Nordeste,9.0,1615.31
107,2024-07-15,Cliente_019,Monitor,Computadores,Nordeste,5.0,1091.72
108,2024-10-16,Cliente_048,Notebook,Computadores,Centro-Oeste,7.0,3263.2
109,2024-04-27,Cliente_044,Headset,Periféricos,Sul,5.0,378.95
110,2024-11-26,Cliente_009,Mouse,Periféricos,Sudeste,,134.52
111,2024-03-30,Cliente_033,Tablet,Celulares,Nordeste,6.0,1933.64
112,2024-09-03,Cliente_030,Headset,Periféricos,Sudeste,3.0,324.48
113,2024-12-11,Cliente_026,Smartphone,Celulares,Sudeste,4.0,2437.69
114,2024-07-07,Cliente_024,Tablet,Celulares,Sudeste,9.0,1596.74
115,2024-11-13,Cliente_005,Mouse,Periféricos,Centro-Oeste,4.0,118.97
116,2024-02-29,Cliente_007,Mouse,Periféricos,Sul,5.0,125.37
117,2024-07-08,Cliente_048,Teclado,Periféricos,Sul,3.0,241.65
118,2024-11-11,Cliente_029,Monitor,Computadores,Centro-Oeste,2.0,1320.13
119,2024-12-17,Cliente_018,Smartphone,Celulares,Sul,6.0,1935.57
120,2024-04-18,Cliente_016, Notebook,Computadores,Sul,8.0,3071.26
121,2024-10-10,Cliente_010,Headset,Periféricos,Norte,10.0,319.05
122,2024-03-15,Cliente_002,Notebook,Computadores,Sul,5.0,3876.33
123,2024-05-01,Cliente_027,Notebook,Computadores,Norte,6.0,
124,2024-07-04,Cliente_003,Notebook,Computadores,Norte,2.0,3475.06
125,2024-01-16,Cliente_032,Tablet,Celulares,Centro-Oeste,8.0,1877.4
126,2024-03-16,Cliente_021,Notebook,Computadores,Centro-Oeste,2.0,3313.22
127,2024-09-15,Cliente_042,Teclado,Periféricos,Norte,9.0,234.62
128,2024-04-26,Cliente_021,Mouse,Periféricos,Centro-Oeste,4.0,117.48
129,2024-03-19,Cliente_028,Tablet,Celulares,Sudeste,5.0,1732.12
130,2024-10-11,Cliente_027,Mouse,Periféricos,Nordeste,6.0,131.22
131,2024-01-27,Cliente_014,Headset,Periféricos,Sul,7.0,388.65
132,2024-02-25,Cliente_015,Mouse,Periféricos,Centro-Oeste,8.0,110.07
133,2024-11-14,Cliente_045, Headset,Periféricos,Nordeste,9.0,399.83
134,2024-06-07,Cliente_043,Notebook,Computadores,Centro-Oeste,3.0,3261.93
135,2024-01-16,Cliente_011,Notebook,Computadores,Nordeste,3.0,3753.02
136,2024-10-17,Cliente_004,Tablet,Celulares,Sudeste,6.0,1949.49
137,2024-09-05,Cliente_023,Tablet,Celulares,Centro-Oeste,8.0,1887.45
138,2024-10-30,Cliente_039,Notebook,Computadores,Sudeste,5.0,3687.13
139,2024-04-18,Cliente_032,Notebook,Computadores,Centro-Oeste,4.0,3291.49
140,2024-12-26,Cliente_026,Smartphone,Celulares,Sudeste,3.0,2120.94
141,2024-02-09,Cliente_027,Monitor,Computadores,Nordeste,1.0,1185.51
142,2024-06-15,Cliente_024,Notebook,Computadores,Sudeste,7.0,2996.9
143,2024-10-28,Cliente_015,Monitor,Computadores,Nordeste,2.0,1107.59
144,2024-11-20,Cliente_047,Headset,Periféricos,Sul,3.0,305.52
145,2024-04-11,Cliente_050,Smartphone,Celulares,Centro-Oeste,2.0,1966.65
146,2024-08-17,Cliente_021,Monitor,Computadores,Nordeste,10.0,1293.56
147,2024-08-14,Cliente_005,Smartphone,Celulares,Nordeste,8.0,1915.07
148,2024-07-07,Cliente_040,Monitor,Computadores,Norte,8.0,1033.54
149,2024-10-10,Cliente_037,Teclado,Periféricos,Sul,7.0,247.2
150,2024-03-18,Cliente_046,Tablet,Celulares,Sudeste,10.0,1786.84
151,2024-12-28,Cliente_024,Teclado,Periféricos,Nordeste,3.0,215.44
152,2024-12-13,Cliente_007,Monitor,Computadores,Norte,7.0,1298.81
153,2024-12-02,Cliente_043,Mouse,Periféricos,Sul,7.0,112.23
154,2024-12-23,Cliente_036,Tablet,Celulares,Centro-Oeste,5.0,2052.56
155,2024-12-09,Cliente_006,Mouse,Periféricos,Centro-Oeste,6.0,131.27
156,2024-06-07,Cliente_015,Teclado,Periféricos,Sul,6.0,213.87
157,2024-02-21,Cliente_043,Smartphone,Celulares,Nordeste,2.0,2065.22
158,2024-07-11,Cliente_011,Headset,Periféricos,Centro-Oeste,10.0,311.26
159,2024-05-01,Cliente_015,Notebook,Computadores,Norte,7.0,3357.51
160,2024-08-28,Cliente_029,Smartphone,Celulares,Centro-Oeste,5.0,2507.29
161,2024-09-14,Cliente_009,Headset,Periféricos,Nordeste,5.0,379.2
162,2024-10-10,Cliente_006,Notebook,Computadores,Sul,8.0,3892.82
163,2024-03-16,Cliente_023,Tablet,Celulares,Sudeste,8.0,2018.87
164,2024-07-10,Cliente_007,Monitor,Computadores,Nordeste,1.0,1162.72
165,2024-05-26,Cliente_031,Headset,Periféricos,Centro-Oeste,3.0,311.95
166,2024-01-10,Cliente_034,Teclado,Periféricos,Centro-Oeste,1.0,280.44
167,2024-03-03,Cliente_008,Notebook,Computadores,Centro-Oeste,,3224.52
168,DATA INVÁLIDA,Cliente_023,Teclado,Periféricos,Sul,9.0,213.73
169,2024-12-08,Cliente_033,Teclado,Periféricos,Norte,7.0,226.55
170,2024-08-28,Cliente_023,Teclado,Periféricos,Sudeste,,241.78
171,2024-11-17,Cliente_023,Tablet,Celulares,Norte,4.0,1925.79
172,2024-12-16,Cliente_005,Tablet,Celulares,Centro-Oeste,3.0,1978.41
173,2024-04-12,Cliente_035,Notebook,Computadores,Centro-Oeste,5.0,3186.67
174,2024-04-07,Cliente_018,Tablet,Celulares,Sudeste,1.0,1936.78
175,2024-07-23,Cliente_032,Headset,Periféricos,Centro-Oeste,6.0,343.38
176,2024-02-12,Cliente_035,Tablet,Celulares,Nordeste,9.0,1674.03
177,2024-12-04,Cliente_029,Tablet,Celulares,Nordeste,2.0,1573.24
178,2024-06-29,Cliente_004,Monitor,Computadores,Sudeste,1.0,1281.65
179,2024-12-13,Cliente_029,Mouse,Periféricos,Sudeste,7.0,
180,2024-11-26,Cliente_044,Smartphone,Celulares,Centro-Oeste,2.0,2025.76
181,2024-02-09,Cliente_016,Tablet,Celulares,Sudeste,6.0,1769.73
182,2024-07-17,Cliente_014,Notebook,Computadores,Norte,3.0,3499.0
183,2024-03-10,Cliente_006,Tablet,Celulares,Nordeste,8.0,1638.1
184,2024-10-08,Cliente_045,Mouse,Periféricos,Sul,6.0,127.54
185,2024-03-03,Cliente_024,Headset,Periféricos,Norte,6.0,350.92
186,2024-10-09,Cliente_046,Teclado,Periféricos,Centro-Oeste,6.0,247.56
187,2024-10-21,Cliente_044,Teclado,Periféricos,Norte,7.0,270.19
188,2024-10-09,Cliente_004,Tablet,Celulares,Sudeste,3.0,2004.1
189,2024-03-23,Cliente_019,Teclado,Periféricos,Sudeste,3.0,235.31
190,2024-10-09,Cliente_042,Tablet,Celulares,Sul,4.0,1872.93
191,2024-12-03,Cliente_003,Teclado,Periféricos,Sudeste,10.0,224.06
192,2024-10-22,Cliente_002,Notebook,Computadores,Centro-Oeste,1.0,3970.97
193,2024-06-03,Cliente_005,Mouse,Periféricos,Sudeste,9.0,112.43
194,2024-08-25,Cliente_047,Smartphone,Celulares,Nordeste,8.0,2144.31
195,2024-09-20,Cliente_016,Monitor,Computadores,Sul,3.0,1293.84
196,2024-07-15,Cliente_021,Notebook,Computadores,Norte,1.0,3279.72
197,2024-03-22,Cliente_002,Mouse,Periféricos,Sudeste,6.0,108.83
198,2024-05-03,Cliente_042,Monitor,Computadores,Centro-Oeste,9.0,1184.6
199,2024-02-25,Cliente_024,Tablet,Celulares,Sudeste,9.0,1534.42
200,2024-04-09,Cliente_036,Monitor,Computadores,Nordeste,1.0,1225.3
201,2024-03-01,Cliente_036,Headset,Periféricos,Nordeste,10.0,368.94
202,2024-09-17,Cliente_031,Headset,Periféricos,Norte,3.0,318.4
203,2024-09-20,Cliente_040,Monitor,Computadores,Nordeste,3.0,1238.25
204,2024-09-17,Cliente_024,Teclado,Periféricos,Nordeste,6.0,250.55
205,2024-10-25,Cliente_039,Mouse,Periféricos,Centro-Oeste,2.0,137.28
206,2024-01-27,Cliente_025,Tablet,Celulares,Sul,10.0,1841.92
207,2024-12-24,Cliente_045,Headset,Periféricos,Sul,4.0,
208,2024-08-29,Cliente_014,Monitor,Computadores,Norte,9.0,1298.99
209,2024-06-09,Cliente_044,Tablet,Celulares,Nordeste,8.0,1813.76
210,2024-05-06,Cliente_050,Teclado,Periféricos,Nordeste,8.0,226.92
211,2024-09-07,Cliente_018,Mouse,Periféricos,Nordeste,4.0,126.85
212,2024-07-13,Cliente_010,Notebook,Computadores,Nordeste,10.0,3685.45
213,2024-02-10,Cliente_013,Notebook,Computadores,Norte,5.0,3978.08
214,2024-03-11,Cliente_034,Tablet,Celulares,Sul,9.0,1905.93
215,2024-07-30,Cliente_036,Mouse,Periféricos,Sul,4.0,103.89
216,2024-04-12,Cliente_050,Monitor,Computadores,Sudeste,8.0,1191.88
217,2024-01-20,Cliente_003,Mouse,Periféricos,Centro-Oeste,10.0,110.36
218,2024-05-28,Cliente_022,Headset,Periféricos,Nordeste,8.0,
219,2024-03-09,Cliente_011,Monitor,Computadores,Centro-Oeste,9.0,1208.75
220,2024-01-08,Cliente_012,Mouse,Periféricos,Norte,5.0,127.87
221,2024-09-20,Cliente_031,Headset,Periféricos,Nordeste,7.0,384.33
222,2024-04-30,Cliente_037,Smartphone,Celulares,Sudeste,1.0,2042.12
223,2024-02-01,Cliente_046,Tablet,Celulares,Nordeste,6.0,1904.1
224,2024-05-31,Cliente_030,Mouse,Periféricos,Norte,2.0,124.99
225,2024-08-29,Cliente_044,Tablet,Celulares,Norte,7.0,1909.05
226,2024-09-27,Cliente_036,Headset,Periféricos,Norte,2.0,352.68
227,2024-03-25,Cliente_038,Smartphone,Celulares,Centro-Oeste,10.0,2224.2
228,2024-01-29,Cliente_030,Notebook,Computadores,Nordeste,9.0,3442.76
229,2024-01-02,Cliente_005,Mouse,Periféricos,Norte,1.0,116.25
230,2024-08-29,Cliente_047,Notebook,Computadores,Centro-Oeste,,4010.44
231,2024-07-12,Cliente_042,Tablet,Celulares,Nordeste,7.0,1772.21
232,DATA INVÁLIDA,Cliente_002,Notebook,Computadores,Nordeste,3.0,4017.49
233,2024-07-13,Cliente_047,Monitor,Computadores,Sudeste,9.0,1172.69
234,2024-01-09,Cliente_044,Notebook,Computadores,Sudeste,7.0,3620.67
235,2024-04-29,Cliente_019,Smartphone,Celulares,Sul,1.0,2135.5
236,2024-11-02,Cliente_043,Headset,Periféricos,Norte,10.0,330.98
237,2024-02-01,Cliente_044,Smartphone,Celulares,Centro-Oeste,7.0,2068.33
238,2024-06-25,Cliente_027,Teclado,Periféricos,Centro-Oeste,8.0,216.02
239,2024-10-02,Cliente_030,Smartphone,Celulares,Sudeste,5.0,2118.46
240,2024-10-12,Cliente_006,Teclado,Periféricos,Centro-Oeste,7.0,285.08
241,2024-04-07,Cliente_005,Headset,Periféricos,Sul,6.0,307.21
242,2024-10-13,Cliente_001,Headset,Periféricos,Sul,10.0,373.55
243,2024-09-02,Cliente_016,Smartphone,Celulares,Norte,2.0,2362.94
244,2024-09-30,Cliente_030,Tablet,Celulares,Sudeste,5.0,1735.56
245,2024-06-12,Cliente_015,Headset,Periféricos,Sul,8.0,377.47
246,2024-10-26,Cliente_025,Notebook,Computadores,Norte,5.0,3555.98
247,2024-12-01,Cliente_047,Headset,Periféricos,Centro-Oeste,4.0,349.93
248,2024-06-29,Cliente_035,Monitor,Computadores,Sudeste,3.0,1283.8
249,2024-02-08,Cliente_041,Teclado,Periféricos,Sul,1.0,275.43
250,2024-09-15,Cliente_031,Notebook,Computadores,Centro-Oeste,3.0,2984.6
251,2024-07-29,Cliente_002,Notebook,Computadores,Norte,,3533.82
252,2024-04-01,Cliente_034,Headset,Periféricos,Nordeste,7.0,382.15
253,2024-07-22,Cliente_045,Headset,Periféricos,Sul,6.0,325.57
254,2024-11-28,Cliente_004,Tablet,Celulares,Sudeste,2.0,1883.02
255,2024-08-10,Cliente_034,Mouse,Periféricos,Sudeste,3.0,104.98
256,2024-12-20,Cliente_018,Smartphone,Celulares,Norte,4.0,2464.84
257,2024-06-10,Cliente_026,Teclado,Periféricos,Sudeste,,225.95
258,2024-10-17,Cliente_049,Tablet,Celulares,Sul,3.0,1834.54
259,2024-06-26,Cliente_050,Headset,Periféricos,Norte,2.0,350.08
260,2024-06-16,Cliente_023,Teclado,Periféricos,Norte,,285.17
261,2024-10-26,Cliente_046,Monitor,Computadores,Sudeste,7.0,1086.87
262,2024-12-30,Cliente_006,Notebook,Computadores,Sudeste,5.0,3136.93
263,2024-05-18,Cliente_033,Tablet,Celulares,Centro-Oeste,8.0,1724.36
264,2024-10-10,Cliente_019,Notebook,Computadores,Centro-Oeste,1.0,3069.1
265,2024-10-13,Cliente_025,Monitor,Computadores,Sul,2.0,1280.94
266,2024-09-09,Cliente_005,Smartphone,Celulares,Nordeste,5.0,2068.75
267,2024-09-10,Cliente_026,Tablet,Celulares,Nordeste,4.0,1919.29
268,2024-06-17,Cliente_039,Headset,Periféricos,Sul,10.0,337.39
269,2024-12-21,Cliente_019,Tablet,Celulares,Centro-Oeste,6.0,1855.73
270,2024-05-23,Cliente_038,Teclado,Periféricos,Norte,4.0,236.94
271,2024-08-24,Cliente_005,Smartphone,Celulares,Centro-Oeste,9.0,1887.76
272,2024-06-04,Cliente_005,Mouse,Periféricos,Centro-Oeste,8.0,107.01
273,2024-09-30,Cliente_024,Teclado,Periféricos,Norte,8.0,256.17
274,2024-05-07,Cliente_042,Teclado,Periféricos,Centro-Oeste,2.0,220.7
275,2024-08-08,Cliente_036,Headset,Periféricos,Norte,6.0,398.9
276,2024-07-10,Cliente_023,Mouse,Periféricos,Sudeste,10.0,109.96
277,2024-02-13,Cliente_030,Monitor,Computadores,Sul,2.0,1126.36
278,2024-02-19,Cliente_046,Teclado,Periféricos,Sudeste,8.0,238.62
279,2024-12-12,Cliente_036,Notebook,Computadores,Sul,6.0,3655.37
280,2024-08-24,Cliente_028,Tablet,Celulares,Centro-Oeste,9.0,1760.24
281,2024-08-18,Cliente_049,Notebook,Computadores,Sudeste,10.0,3902.25
282,2024-10-01,Cliente_032,Teclado,Periféricos,Norte,2.0,272.46
283,2024-11-08,Cliente_012,Mouse,Periféricos,Nordeste,6.0,123.49
284,2024-03-09,Cliente_010,Teclado,Periféricos,Norte,10.0,218.86
285,2024-10-21,Cliente_042,Monitor,Computadores,Sul,7.0,1234.71
286,2024-03-12,Cliente_001,Teclado,Periféricos,Centro-Oeste,3.0,249.22
287,2024-10-14,Cliente_029,Smartphone,Celulares,Centro-Oeste,4.0,2408.04
288,2024-04-22,Cliente_030,Smartphone,Celulares,Norte,2.0,2243.16
289,2024-02-27,Cliente_035,Mouse,Periféricos,Sudeste,8.0,121.79
290,2024-08-05,Cliente_003,Headset,Periféricos,Centro-Oeste,8.0,354.87
291,2024-02-14,Cliente_048,Tablet,Celulares,Norte,6.0,1995.59
292,2024-11-08,Cliente_014,Mouse,Periféricos,Sudeste,6.0,133.0
293,2024-11-01,Cliente_018,Teclado,Periféricos,Norte,6.0,252.42
294,2024-07-29,Cliente_009,Mouse,Periféricos,Sul,2.0,106.88
295,2024-12-12,Cliente_025,Smartphone,Celulares,Centro-Oeste,6.0,2416.8
296,2024-05-22,Cliente_038,Notebook,Computadores,Sudeste,2.0,3397.99
297,2024-08-22,Cliente_026,Headset,Periféricos,Sul,2.0,374.25
298,2024-06-14,Cliente_032,Monitor,Computadores,Nordeste,4.0,1198.1
299,2024-11-16,Cliente_029,Mouse,Periféricos,Centro-Oeste,1.0,103.65
300,2024-12-18,Cliente_018,Notebook,Computadores,Sudeste,7.0,3187.43
301,2024-07-09,Cliente_047,Mouse,Periféricos,Sul,6.0,111.01
302,2024-01-01,Cliente_029,Monitor,Computadores,Sudeste,2.0,1273.33
303,2024-08-04,Cliente_007,Notebook,Computadores,Sudeste,6.0,3832.96
304,2024-03-11,Cliente_044,Tablet,Celulares,Sul,6.0,2005.73
305,2024-11-08,Cliente_010,Notebook,Computadores,Centro-Oeste,9.0,3566.46
306,2024-02-14,Cliente_023,Teclado,Periféricos,Centro-Oeste,8.0,277.0
307,2024-11-26,Cliente_050,Tablet,Celulares,Sudeste,3.0,1663.8
308,2024-11-06,Cliente_016,Headset,Periféricos,Centro-Oeste,5.0,319.07
309,2024-11-22,Cliente_021,Monitor,Computadores,Sul,2.0,1106.79
310,2024-10-06,Cliente_002,Monitor,Computadores,Norte,10.0,1171.51
311,2024-01-21,Cliente_046,Notebook,Computadores,Norte,1.0,3250.29
312,2024-07-24,Cliente_020,Headset,Periféricos,Sudeste,7.0,341.98
313,2024-03-20,Cliente_044,Teclado,Periféricos,Sudeste,4.0,285.57
314,2024-05-02,Cliente_039,Tablet,Celulares,Sudeste,7.0,1924.18
315,2024-12-28,Cliente_034,Tablet,Celulares,Nordeste,3.0,
316,2024-05-17,Cliente_028,Smartphone,Celulares,Nordeste,6.0,1953.77
317,2024-10-22,Cliente_037,Teclado,Periféricos,Sul,2.0,232.22
318,2024-02-22,Cliente_001,Tablet,Celulares,Sudeste,3.0,1667.76
319,2024-08-29,Cliente_003,Headset,Periféricos,Norte,1.0,323.18
320,2024-05-07,Cliente_024,Headset,Periféricos,Sudeste,7.0,321.07
321,2024-09-21,Cliente_019,Teclado,Periféricos,Nordeste,1.0,225.95
322,2024-01-05,Cliente_016,Tablet,Celulares,Centro-Oeste,2.0,1828.67
323,2024-04-10,Cliente_027,Tablet,Celulares,Sudeste,10.0,2054.8
324,2024-12-21,Cliente_048, Smartphone,Celulares,Nordeste,9.0,2098.64
325,2024-05-01,Cliente_018,Notebook,Computadores,Sudeste,4.0,3531.31
326,2024-09-23,Cliente_038,Notebook,Computadores,Sudeste,4.0,3917.15
327,2024-07-20,Cliente_016,Teclado,Periféricos,Nordeste,3.0,260.29
328,2024-07-20,Cliente_005,Tablet,Celulares,Sul,6.0,2030.06
329,2024-02-24,Cliente_050,Smartphone,Celulares,Sul,10.0,1941.92
330,2024-03-02,Cliente_039,Monitor,Computadores,Sudeste,5.0,1186.8
331,2024-12-30,Cliente_017,Smartphone,Celulares,Sul,6.0,1967.89
332,2024-10-11,Cliente_009,Notebook,Computadores,Sudeste,7.0,3872.33
333,2024-04-23,Cliente_042,Notebook,Computadores,Sudeste,1.0,3846.89
334,2024-02-08,Cliente_009,Teclado,Periféricos,Sudeste,,231.91
335,2024-08-24,Cliente_032,Headset,Periféricos,Sudeste,6.0,310.37
336,2024-04-19,Cliente_040,Monitor,Computadores,Norte,7.0,1082.21
337,2024-09-12,Cliente_009,Teclado,Periféricos,Centro-Oeste,4.0,261.05
338,2024-10-05,Cliente_035,Smartphone,Celulares,Centro-Oeste,9.0,2034.44
339,2024-07-17,Cliente_050,Tablet,Celulares,Nordeste,10.0,
340,2024-10-26,Cliente_018,Notebook,Computadores,Norte,8.0,3530.9
341,2024-04-22,Cliente_012,Headset,Periféricos,Sul,1.0,377.73
342,2024-12-23,Cliente_037,Smartphone,Celulares,Norte,10.0,2079.88
